Chinese,Japanese,正しい日本語,
付款新增 export function paymentOrderCreate(data),新規支払い エクスポート関数paymentOrderCreate(data),支払新規登録 エクスポート関数 paymentOrderCreate(data),FALSE
付款编号,支払い番号,支払番号,FALSE
付款记录作废,支払記録が無効です,支払記録無効,FALSE
付款记录作废 export function paymentOrdersVoid(data),支払記録が無効です エクスポート関数paymentOrdersVoid(data),支払記録無効 エクスポート関数 paymentOrdersVoid(data),FALSE
付款详情,お支払い詳細,支払詳細,FALSE
付款详情 export function paymentOrderDetail(params),お支払い詳細 エクスポート関数paymentOrderDetail(params),支払詳細 エクスポート関数 paymentOrderDetail(params),FALSE
付款金额(元),支払金額（元）,支払金額（円）,FALSE
付款金额合计：,お支払い総額:,支払金額合計：,FALSE
付金额,お支払い金額,支払金額,FALSE
付金额(元),支払金額（元）,支払金額（円）,FALSE
付金额格式不正确,支払い金額の形式が間違っています,支払金額の形式が不正です,FALSE
令牌过期,トークンの有効期限が切れる,トークン有効期限切れ,FALSE
优惠金额格式不正确,割引額の形式が間違っています,割引金額の形式が不正です,FALSE
作废,空所,無効,FALSE
作废付款单据,支払い文書を無効にする,支払伝票無効,FALSE
作废入库通知单号,無効倉庫通知番号,入庫通知番号無効,FALSE
作废出库通知单号,無効化された配送通知番号,出庫通知番号無効,FALSE
作废成功,キャンセルが成功しました,無効化成功,FALSE
作废收支单据,領収書と支払い書類を無効にする,収支伝票無効,FALSE
作废收款单据,支払い領収書を無効にする,入金伝票無効,FALSE
作废盘点单号,無効化された在庫注文番号,棚卸伝票番号無効,FALSE
作废调拨单号,無効な転送オーダー番号です,振替伝票番号無効,FALSE
作废采购单号,注文書番号を無効にします,購買伝票番号無効,FALSE
作废采购退货单号,購入返品注文番号を無効にします,購買返品伝票番号無効,FALSE
作废销售单号,無効な販売注文番号です,販売伝票番号無効,FALSE
作废销售退货单号,無効な販売返品注文番号,販売返品伝票番号無効,FALSE
使用服务器的后端,サーバーのバックエンドの使用,サーバーバックエンド使用,FALSE
使用本地的后端,ローカルバックエンドを使用する,ローカルバックエンド使用,FALSE
供应商 export function getSupplierNumber(params),サプライヤー エクスポート関数 getSupplierNumber(params),仕入先 エクスポート関数 getSupplierNumber(params),FALSE
供应商 export function supplierArrearsOption(params),サプライヤー エクスポート関数supplierArrearsOption(params),仕入先 エクスポート関数 supplierArrearsOption(params),FALSE
供应商 export function supplierExport(params),サプライヤー エクスポート関数supplierExport(params),仕入先 エクスポート関数 supplierExport(params),FALSE
供应商 export function supplierList(params),サプライヤー エクスポート関数supplierList(params),仕入先 エクスポート関数 supplierList(params),FALSE
供应商 export function suppliersOption(params),サプライヤー エクスポート関数suppliersOption(params),仕入先 エクスポート関数 suppliersOption(params),FALSE
供应商列表,サプライヤーリスト,仕入先一覧,FALSE
供应商名称,サプライヤー名,仕入先名,FALSE
供应商导入,サプライヤーの輸入,仕入先インポート,FALSE
供应商导入 export function supplierImport(data),サプライヤーの輸入 エクスポート関数supplierImport(data),仕入先インポート エクスポート関数 supplierImport(data),FALSE
供应商导入模板,サプライヤーインポートテンプレート,仕入先インポートテンプレート,FALSE
供应商模板,サプライヤーテンプレート,仕入先テンプレート,FALSE
供应商模板 export function supplierTemplate(params),サプライヤーテンプレート エクスポート関数supplierTemplate(params),仕入先テンプレート エクスポート関数 supplierTemplate(params),FALSE
供应商编号,サプライヤー番号,仕入先コード,FALSE
保存成功,保存に成功しました,保存成功,FALSE
保质期天数,賞味期限日数,品質保証期間日数,FALSE
保质期预警天数,賞味期限警告日,品質保証期間警告日数,FALSE
修改成功,変更が成功しました,更新成功,FALSE
元）,元）,円）,FALSE
入库,倉庫,入庫,FALSE
入库 export function stockInCreate(data),倉庫 エクスポート関数stockInCreate(データ),入庫 エクスポート関数 stockInCreate(data),FALSE
入库业务,倉庫業,入庫業務,FALSE
入库仓库,入荷倉庫,入庫倉庫,FALSE
入库任务 export function stockInOrdersList(params),倉庫作業 エクスポート関数stockInOrdersList(params),入庫タスク エクスポート関数 stockInOrdersList(params),FALSE
入库任务提醒,倉庫作業リマインダー,入庫タスク通知,FALSE
入库任务提醒 export function stockInList(params),倉庫作業リマインダー エクスポート関数stockInList(params),入庫タスク通知 エクスポート関数 stockInList(params),FALSE
入库创建,倉庫の作成,入庫登録,FALSE
入库剩余数量,残り在庫数,入庫残数量,FALSE
入库单,倉庫受領書,入庫伝票,FALSE
入库完成状态,入庫完了状況,入庫完了状態,FALSE
入库总数,総倉庫数,入庫総数,FALSE
入库数量,入荷数量,入庫数量,FALSE
入库类型,倉庫タイプ,入庫タイプ,FALSE
入库编号,倉庫番号,入庫番号,FALSE
入库记录作废,倉庫レコードが無効です,入庫記録無効,FALSE
入库记录作废 export function stockInOrdersVoid(data),倉庫レコードが無効です エクスポート関数stockInOrdersVoid(data),入庫記録無効 エクスポート関数 stockInOrdersVoid(data),FALSE
入库通知单号,倉庫届出番号,入庫通知番号,FALSE
入库通知单据,入庫届出書,入庫通知伝票,FALSE
入库通知单据 export function stockInOrderDetail(params),入庫届出書 エクスポート関数stockInOrderDetail(params),入庫通知伝票 エクスポート関数 stockInOrderDetail(params),FALSE
入库通知单详情,倉庫通知の詳細,入庫通知詳細,FALSE
共,一般,合計,FALSE
关闭,閉鎖,閉じる,FALSE
关闭工单,チケットを閉じる,作業指示書クローズ,FALSE
关闭成功,正常に終了しました,クローズ成功,FALSE
其他,他の,その他,FALSE
其他作业,その他の宿題,その他作業,FALSE
其他费用格式不正确,その他の経費の形式が正しくありません,その他費用の形式が不正です,FALSE
冻结,フリーズする,凍結,FALSE
出入库作业,インバウンドおよびアウトバウンド業務,入出庫作業,FALSE
出入库历史,インバウンドとアウトバウンドの履歴,入出庫履歴,FALSE
出库,倉庫から出た,出庫,FALSE
出库 export function stockOutCreate(data),倉庫から出た エクスポート関数stockOutCreate(data),出庫 エクスポート関数 stockOutCreate(data),FALSE
出库业务,アウトバウンド事業,出庫業務,FALSE
出库仓库,出荷倉庫,出庫倉庫,FALSE
出库任务 export function stockOutOrdersList(params),アウトバウンドタスク エクスポート関数stockOutOrdersList(params),出庫タスク エクスポート関数 stockOutOrdersList(params),FALSE
出库任务提醒,アウトバウンドタスクリマインダー,出庫タスク通知,FALSE
出库任务提醒 export function stockOutList(params),アウトバウンドタスクリマインダー エクスポート関数stockOutList(params),出庫タスク通知 エクスポート関数 stockOutList(params),FALSE
出库创建,アウトバウンド作成,出庫登録,FALSE
出库剩余数量,残り出荷数量,出庫残数量,FALSE
出库单,アウトバウンド注文,出庫伝票,FALSE
出库完成状态,アウトバウンド完了ステータス,出庫完了状態,FALSE
出库总数,総出荷数,出庫総数,FALSE
出库数量,出荷数量,出庫数量,FALSE
出库类型,アウトバウンド型,出庫タイプ,FALSE
出库编号,配送番号,出庫番号,FALSE
出库记录,アウトバウンドレコード,出庫記録,FALSE
出库记录 export function stockOutRecordsList(params),アウトバウンドレコード エクスポート関数stockOutRecordsList(params),出庫記録 エクスポート関数 stockOutRecordsList(params),FALSE
出库记录作废,送信レコードが無効です,出庫記録無効,FALSE
出库记录作废 export function stockOutOrdersVoid(data),送信レコードが無効です エクスポート関数stockOutOrdersVoid(data),出庫記録無効 エクスポート関数 stockOutOrdersVoid(data),FALSE
出库记录详情,送信レコードの詳細,出庫記録詳細,FALSE
出库记录详情 export function stockOutRecordDetail(params),送信レコードの詳細 エクスポート関数stockOutRecordDetail(params),出庫記録詳細 エクスポート関数 stockOutRecordDetail(params),FALSE
出库通知单,アウトバウンド通知,出庫通知,FALSE
出库通知单号,アウトバウンド通知番号,出庫通知番号,FALSE
出库通知单据,アウトバウンド通知文書,出庫通知伝票,FALSE
出库通知单据 export function stockOutOrderDetail(params),アウトバウンド通知文書 エクスポート関数stockOutOrderDetail(params),出庫通知伝票 エクスポート関数 stockOutOrderDetail(params),FALSE
出库通知单详情,アウトバウンド通知の詳細,出庫通知詳細,FALSE
出错,エラー,エラー発生,FALSE
分类,分類,カテゴリ,FALSE
分类名称,カテゴリ名,分類名,FALSE
创建人,クリエイター,作成者,FALSE
创建成功,正常に作成されました,作成成功,FALSE
初期余额格式不正确,初期残高形式が正しくありません,初期残高の形式が不正です,FALSE
初期欠款金额,当初の未払い額,初期未払金額,FALSE
初期欠款金额(元),当初負債額（元）,初期未払金額（円）,FALSE
初期欠款金额格式不正确,当初の負債額の形式が間違っています,初期未払金額の形式が不正です,FALSE
删除成功,正常に削除されました,削除成功,FALSE
判断是否需要安装CLodop云打印服务器,CLodop クラウド印刷サーバーをインストールする必要があるかどうかを判断する,CLodopクラウド印刷サーバーのインストール必要性確認,FALSE
别名，需要的格式：,エイリアス、必要な形式:,別名、必要な形式：,FALSE
剩余数量,残量,残数量,FALSE
功能配置,機能構成,機能設定,FALSE
北京XXXXX公司,北京○○○○会社,北京XXXXX会社,FALSE
升级后请刷新页面。,アップグレード後はページを更新してください。,アップグレード後はページを更新してください,FALSE
升级后请重新进入。,アップグレード後に再入力してください。,アップグレード後は再アクセスしてください,FALSE
单位,ユニット,単位,FALSE
单位名称,ユニット名,単位名,FALSE
单位管理,ユニット管理,単位管理,FALSE
单号,注文番号,伝票番号,FALSE
单据字头,文書の接頭辞,伝票ヘッダー,FALSE
占用,占める,占有,FALSE
占用率,稼働率,使用率,FALSE
原料入库,原料倉庫,原料入庫,FALSE
原料出入库明细,原材料の出入りの詳細,原料入出庫明細,FALSE
原料出库,原材料の配送,原料出庫,FALSE
原料字典,原材料辞典,原料マスタ,FALSE
原料字典导入,原材料辞書インポート,原料マスタインポート,FALSE
原料字典模板,原材料辞書テンプレート,原料マスタテンプレート,FALSE
原料库存,原材料在庫,原料在庫,FALSE
发布工单,作業指示を投稿する,作業指示書発行,FALSE
发布成功,正常に投稿されました,発行成功,FALSE
取消,キャンセル,取消,FALSE
变化之前数量,変更前の数量,変更前数量,FALSE
变化之后数量,変更後の数量,変更後数量,FALSE
变化数量,数量変更,変更数量,FALSE
名称,名前,名称,FALSE
含税金额(元),税込金額（元）,税込金額（円）,FALSE
启用,有効にする,有効化,FALSE
启用保质期,保存期間を有効にする,品質保証期間管理を有効化,FALSE
启用库存警告,在庫警告を有効にする,在庫警告を有効化,FALSE
启用批次控制,バッチ制御を有効にする,ロット管理を有効化,FALSE
员工姓名,社員名,従業員名,FALSE
响应出错,応答エラー,レスポンスエラー,FALSE
图文信息,グラフィック情報,図面情報,FALSE
天,空,日,FALSE
如下空白位置适合调用统一功能(如注册语句、语言选择等),次の空白の位置は、統合機能 (登録ステートメント、言語選択など) を呼び出すのに適しています。,以下の空白位置は統一機能（登録文、言語選択など）の呼び出しに適しています,FALSE
如果此前正常，仅因浏览器升级或重安装而出问题，需重新执行以上安装）,以前は正常だった場合、問題はブラウザのアップグレードまたは再インストールによってのみ発生し、上記のインストールを再実行する必要があります),以前正常でブラウザのアップグレードまたは再インストールのみが原因の場合、上記のインストールを再実行する必要があります,FALSE
如果页面有Lodop就直接使用，没有则新建,ページに Lodop がある場合は、それを直接使用します。そうでない場合は、新しいものを作成します。,ページにLodopがある場合は直接使用し、ない場合は新規作成します,FALSE
姓名,名前,氏名,FALSE
安装后请刷新页面。,インストール後はページを更新してください。,インストール後はページを更新してください,FALSE
安装后请刷新页面或重新进入。,インストール後、ページを更新するか、再度入力してください。,インストール後はページを更新または再アクセスしてください,FALSE
完成,仕上げる,完了,FALSE
完成数量,完成数量,完了数量,FALSE
实付金额(元),実際に支払った金額（元）,実支払金額（円）,FALSE
实收,実際の領収書,実収入,FALSE
实收金额(元),実際に受け取った金額（元）,実受取金額（円）,FALSE
实际总数量,実際の合計数量,実総数量,FALSE
实际数量,実際の数量,実数量,FALSE
实际数量必填,実際に必要な数量,実数量必須,FALSE
客户 export function clientArrearsOption(params),クライアント エクスポート関数 clientArrearsOption(params),顧客 エクスポート関数 clientArrearsOption(params),FALSE
客户 export function clientExport(params),クライアント エクスポート関数 clientExport(params),顧客 エクスポート関数 clientExport(params),FALSE
客户 export function clientList(params),クライアント エクスポート関数 clientList(params),顧客 エクスポート関数 clientList(params),FALSE
客户 export function clientsOption(params),クライアント エクスポート関数 clientOption(params),顧客 エクスポート関数 clientsOption(params),FALSE
客户 export function getClientNumber(params),クライアント エクスポート関数 getClientNumber(params),顧客 エクスポート関数 getClientNumber(params),FALSE
客户列表,顧客リスト,顧客一覧,FALSE
客户编号,お客様番号,顧客コード,FALSE
导入模板,テンプレートをインポート,インポートテンプレート,FALSE
导出,出力,エクスポート,FALSE
导出模板,テンプレートを出力,エクスポートテンプレート,FALSE
导出页面为PDF格式,ページを PDF 形式にエクスポートする,ページをPDF形式でエクスポート,FALSE
导出页面为PDF格式 import html2Canvas from,ページを PDF 形式にエクスポートする html2Canvas をインポートする,ページをPDF形式でエクスポート html2Canvasをインポート,FALSE
已作废,無効化された,無効済み,FALSE
已开启,すでにオンになっています,有効化済み,FALSE
已收到款项,支払いを受け取りました,入金済み,FALSE
已添加过改结算账户,決済口座変更を追加しました,決済口座変更済み,FALSE
已销售价格(元),販売価格（元）,販売価格（円）,FALSE
平均采购价,平均購入価格,平均購買価格,FALSE
序号,シリアルナンバー,連番,FALSE
库位管理,在庫位置管理,ロケーション管理,FALSE
库存,在庫あり,在庫,FALSE
库存上限,在庫制限,在庫上限,FALSE
库存下限,最小在庫数,在庫下限,FALSE
库存总数,総在庫数,在庫総数,FALSE
库存数量,在庫数,在庫数量,FALSE
库存流水,在庫履歴,在庫推移,FALSE
库存流水 export function inventoryFlowsList(params),在庫の流れ エクスポート関数 inventoryFlowsList(params),在庫推移 エクスポート関数 inventoryFlowsList(params),FALSE
库存流水详情,在庫フローの詳細,在庫推移詳細,FALSE
库存流水详情 export function inventoryFlowsDetail(params),在庫フローの詳細 エクスポート関数 inventoryFlowsDetail(params),在庫推移詳細 エクスポート関数 inventoryFlowsDetail(params),FALSE
库存预警 if (data,在庫アラート if (データ,在庫アラート if (data,FALSE
库存预警上限,在庫警告上限値,在庫警告上限,FALSE
库存预警下限,在庫警告下限値,在庫警告下限,FALSE
应付欠款 export function arrearsPayableList(params),延滞金 エクスポート関数 arraysPayableList(params),買掛金 エクスポート関数 arrearsPayableList(params),FALSE
应付欠款详情,債務の詳細,買掛金詳細,FALSE
应付账款,買掛金勘定,買掛金,FALSE
应收,受取可能,売掛金,FALSE
应收欠款 export function arrearsReceivableList(params),売掛金 エクスポート関数 arraysReceivableList(params),売掛金 エクスポート関数 arrearsReceivableList(params),FALSE
应收欠款详情,売掛金の明細,売掛金詳細,FALSE
建筑仓储管理系统,建物倉庫管理システム,建築倉庫管理システム,FALSE
开启,オンにする,有効化,FALSE
开启批次控制的产品,バッチ制御が有効な製品,ロット管理有効商品,FALSE
开启批次控制的产品需要输入批次编号,バッチ制御がオンになっている製品は、バッチ番号を入力する必要があります,ロット管理有効商品はロット番号の入力必須,FALSE
开启批次控制的产品需要选择批次编号,バッチ制御がオンになっている製品は、バッチ番号を選択する必要があります,ロット管理有効商品はロット番号の選択必須,FALSE
开户行,口座開設銀行,取引銀行,FALSE
开户账号,口座開設口座,口座番号,FALSE
引用双端口(8000和18000）避免其中某个被占用：,デュアル ポート (8000 および 18000) を参照して、そのうちの 1 つが占有されないようにします。,二重ポート(8000と18000)を参照し、いずれかが占有されるのを防ぎます,FALSE
引用双端口(8000和18000）避免其中某个被占用： oscript,デュアル ポート (8000 および 18000) を参照して、そのうちの 1 つが占有されないようにします。 スクリプト,二重ポート(8000と18000)を参照し、いずれかが占有されるのを防ぎます oscript,FALSE
往来单位,接点ユニット,取引先,FALSE
往来管理,トランザクション管理,取引管理,FALSE
往来记录,通信記録,取引記録,FALSE
待入库,ストック予定,入庫待ち,FALSE
待出库,発送予定,出庫待ち,FALSE
待出库数量,出荷する数量,出庫予定数量,FALSE
待办事项,やることリスト,未処理事項,FALSE
微信交流群,WeChatコミュニケーショングループ,WeChat連絡グループ,FALSE
总计金额(元),合計金額（元）,合計金額（円）,FALSE
总金额,一時金,総金額,FALSE
您有,あなたが持っている,未処理,FALSE
成品入库,完成品倉庫,製品入庫,FALSE
成品出入库明细,完成品の入口と出口の詳細,製品入出庫明細,FALSE
成品出库,完成品のお届け,製品出庫,FALSE
成品字典,完成した辞書,製品マスタ,FALSE
成品字典导入,辞書のインポートが完了しました,製品マスタインポート,FALSE
成品字典模板,完成した辞書テンプレート,製品マスタテンプレート,FALSE
成品库存,完成品在庫,製品在庫,FALSE
所有仓库,すべての倉庫,全倉庫,FALSE
手机号,携帯電話番号,携帯番号,FALSE
手续费支付方,料金支払者,手数料負担者,FALSE
手续费金额(元),手数料金額（元）,手数料金額（円）,FALSE
手续费金额格式不正确,手数料金額の形式が間違っています,手数料金額の形式が不正です,FALSE
打印,印刷する,印刷,FALSE
打印控件未安装,印刷コントロールがインストールされていません,印刷コントロール未インストール,FALSE
打印控件需要升级,印刷制御をアップグレードする必要がある,印刷コントロールのアップグレード必要,FALSE
执行升级,アップグレードを実行する,アップグレード実行,FALSE
执行安装,インストールを実行する,インストール実行,FALSE
扩展】中先卸它）,拡張機能】先にアンインストールしてください）,拡張機能】先にアンインストールしてください,FALSE
批,バッチ,ロット,FALSE
批次,バッチ,ロット,FALSE
批次 export function batchsOption(params),バッチ エクスポート関数batchesOption(params),ロット エクスポート関数 batchsOption(params),FALSE
批次剩余数量,バッチの残量,ロット残数量,FALSE
批次报表 export function batchsReportList(params),バッチレポート エクスポート関数バッチReportList(params),ロットレポート エクスポート関数 batchsReportList(params),FALSE
批次控制,バッチ制御,ロット管理,FALSE
批次数量,バッチ数量,ロット数量,FALSE
报表,報告,レポート,FALSE
报表统计,レポート集計,レポート統計,FALSE
抱歉，您无权访问此页面,申し訳ありませんが、このページにアクセスする権限がありません,申し訳ありませんが、このページへのアクセス権限がありません,FALSE
拥有权限,許可を得る,権限所有,FALSE
按库存生产,仕込んで在庫を確保する,在庫生産,FALSE
按订单生产,オーダーメイド,受注生産,FALSE
插件未安装时提示下载地址,プラグインがインストールされていない場合のダウンロード アドレスのプロンプト,プラグイン未インストール時のダウンロードURL表示,FALSE
操作,操作する,操作,FALSE
操作快捷入口,操作クイックエントリー,操作クイックアクセス,FALSE
支付宝,アリペイ,Alipay,FALSE
收入,所得,収入,FALSE
收支单据,領収書と支払い,収支伝票,FALSE
收支类型,収支の種類,収支タイプ,FALSE
收支项目 export function revenueExpenditureItemsExport(params),収支内訳 エクスポート関数収益ExpenditureItemsExport(params),収支項目 エクスポート関数 revenueExpenditureItemsExport(params),FALSE
收支项目 export function revenueExpenditureItemsList(params),収支内訳 エクスポート関数収益ExpenditureItemsList(params),収支項目 エクスポート関数 revenueExpenditureItemsList(params),FALSE
收支项目列表,収入支出項目一覧,収支項目一覧,FALSE
收支项目导入,収入支出項目の輸入,収支項目インポート,FALSE
收支项目导入 export function revenueExpenditureItemsImport(data),収入支出項目の輸入 エクスポート関数収益ExpenditureItemsImport(データ),収支項目インポート エクスポート関数 revenueExpenditureItemsImport(data),FALSE
收支项目模板 export function revenueExpenditureItemsTemplate(params),収支項目テンプレート エクスポート関数収益ExpenditureItemsTemplate(params),収支項目テンプレート エクスポート関数 revenueExpenditureItemsTemplate(params),FALSE
收款 export function collectionOrdersList(params),コレクション エクスポート関数 collectionOrdersList(params),入金 エクスポート関数 collectionOrdersList(params),FALSE
收款业务,回収事業,入金業務,FALSE
收款单,回収票,入金伝票,FALSE
收款单 export function getCollectionOrderNumber(params),回収票 エクスポート関数 getCollectionOrderNumber(params),入金伝票 エクスポート関数 getCollectionOrderNumber(params),FALSE
收款单创建,払込票の作成,入金伝票作成,FALSE
收款单据,領収書,入金伝票,FALSE
收款单详情,払込票詳細,入金伝票詳細,FALSE
收款新增,新しい支払いの徴収,入金新規登録,FALSE
收款新增 export function collectionOrderCreate(data),新しい支払いの徴収 エクスポート関数 collectionOrderCreate(data),入金新規登録 エクスポート関数 collectionOrderCreate(data),FALSE
收款编号,受付番号,入金番号,FALSE
收款记录作废,支払記録が無効です,入金記録無効,FALSE
收款记录作废 export function collectionOrdersVoid(data),支払記録が無効です エクスポート関数 collectionOrdersVoid(data),入金記録無効 エクスポート関数 collectionOrdersVoid(data),FALSE
收款详情,お支払い詳細,入金詳細,FALSE
收款详情 export function collectioOrderDetail(params),お支払い詳細 エクスポート関数 collectionioOrderDetail(params),入金詳細 エクスポート関数 collectionOrderDetail(params),FALSE
收款金额,支払金額,入金金額,FALSE
收款金额(元),支払金額（元）,入金金額（円）,FALSE
收款金额合计：,お支払い総額:,入金金額合計：,FALSE
数据统计,統計,データ統計,FALSE
数量,量,数量,FALSE
整单折扣,全注文割引,全伝票割引,FALSE
新增,新規追加,新規登録,FALSE
新增产品,製品を追加,商品新規登録,FALSE
新增产品信息,製品情報を追加,商品情報新規登録,FALSE
新增产品分类,製品分類を追加,商品分類新規登録,FALSE
新增产品单位,製品単位を追加,商品単位新規登録,FALSE
新增仓库,倉庫を追加,倉庫新規登録,FALSE
新增付款单,支払伝票を追加,支払伝票新規登録,FALSE
新增供应商,仕入先を追加,仕入先新規登録,FALSE
新增入库单,入庫伝票を追加,入庫伝票新規登録,FALSE
新增出库单,出庫伝票を追加,出庫伝票新規登録,FALSE
新增分类,分類を追加,分類新規登録,FALSE
新增单位,単位を追加,単位新規登録,FALSE
新增客户,顧客を追加,顧客新規登録,FALSE
新增成功,正常に追加されました,新規登録成功,FALSE
新增收支项目,収支項目を追加,収支項目新規登録,FALSE
新增收款单,入金伝票を追加,入金伝票新規登録,FALSE
新增日常收支,日常収支を追加,日常収支新規登録,FALSE
新增生产任务,生産タスクを追加,生産タスク新規登録,FALSE
新增生产计划,生産計画を追加,生産計画新規登録,FALSE
新增盘点,棚卸を追加,棚卸新規登録,FALSE
