Chinese,Japanese,正しい日本語,
初期余额,初期残高,,
初期余额格式不正确,初期残高形式が正しくありません,,
初期欠款金额,当初の未払い額,,
初期欠款金额(元),当初負債額（元）,当初の未払い額（円）,
初期欠款金额格式不正确,当初の負債額の形式が間違っています,,
删除,削除,,
删除成功,正常に削除されました,,
判断是否需要安装CLodop云打印服务器,CLodop クラウド印刷サーバーをインストールする必要があるかどうかを判断する,,
别名，需要的格式：,エイリアス、必要な形式:,,
到期日期,有効期限,,
剩余数量,残量,,
功能配置,機能構成,,
北京XXXXX公司,北京○○○○会社,,
升级后请刷新页面。,アップグレード後はページを更新してください。,,
升级后请重新进入。,アップグレード後に再入力してください。,,
单位,ユニット,単位,
单位名称,ユニット名,単位名,
单位管理,ユニット管理,単位管理,
单号,注文番号,,
单据字头,文書の接頭辞,伝票タイトル,
占用,占める,使用,
占用率,稼働率,使用率,
原料入库,原料倉庫,,
原料出入库明细,原材料の出入りの詳細,,
原料出库,原材料の配送,原材料の出庫,
原料字典,原材料辞典,,
原料字典导入,原材料辞書インポート,,
原料字典模板,原材料辞書テンプレート,,
原料库存,原材料在庫,,
发布工单,作業指示を投稿する,作業指示を出す,
发布成功,正常に投稿されました,正常に出しました,
取消,キャンセル,,
变化之前数量,変更前の数量,,
变化之后数量,変更後の数量,,
变化数量,数量変更,変更数量,
合同,契約,,
合同原料,契約原料,,
合计,合計,,
名称,名前,名称,
含税金额(元),税込金額（元）,,
启用,有効にする,,
启用保质期,保存期間を有効にする,,
启用库存警告,在庫警告を有効にする,,
启用批次控制,バッチ制御を有効にする,,
员工姓名,社員名,,
员工账号,従業員アカウント,,
响应出错,応答エラー,,
图文信息,グラフィック情報,,
地址,住所,,
基本信息,基本情報,,
基础数据,基本データ,,
基础档案,基本ファイル,,
处理日期,処理日,,
处理时间,処理時間,,
备注,備考,,
天,空,日,
女,女性,,
如下空白位置适合调用统一功能(如注册语句、语言选择等),次の空白の位置は、統合機能 (登録ステートメント、言語選択など) を呼び出すのに適しています。,,
如果此前正常，仅因浏览器升级或重安装而出问题，需重新执行以上安装）,以前は正常だった場合、問題はブラウザのアップグレードまたは再インストールによってのみ発生し、上記のインストールを再実行する必要があります),,
如果页面有Lodop就直接使用，没有则新建,ページに Lodop がある場合は、それを直接使用します。そうでない場合は、新しいものを作成します。,ページに Lodop がある場合は、それを直接使用します。そうでない場合は、新規作成します。,
姓名,名前,,
安装后请刷新页面。,インストール後はページを更新してください。,,
安装后请刷新页面或重新进入。,インストール後、ページを更新するか、再度入力してください。,,
完成,仕上げる,完成,
完成数量,完成数量,,
实付金额(元),実際に支払った金額（元）,実際に支払った金額（元）,
实收,実際の領収書,,
实收金额(元),実際に受け取った金額（元）,,
实际总数量,実際の合計数量,,
实际数量,実際の数量,,
实际数量必填,実際に必要な数量,,
客户,顧客,,
"客户
export function clientArrearsOption(params)","クライアント
エクスポート関数 clientArrearsOption(params)",,
"客户
export function clientExport(params)","クライアント
エクスポート関数 clientExport(params)",,
"客户
export function clientList(params)","クライアント
エクスポート関数 clientList(params)",,
"客户
export function clientsOption(params)","クライアント
エクスポート関数 clientOption(params)",,
"客户
export function getClientNumber(params)","クライアント
エクスポート関数 getClientNumber(params)",,
客户列表,顧客リスト,,
客户名称,顧客名,,
客户导入,顧客インポート,,
"客户导入
export function clientImport(data)","顧客インポート
エクスポート関数 clientImport(data)",,
客户导入模板,顧客インポートテンプレート,,
客户模板,顧客テンプレート,,
"客户模板
export function clientTemplate(params)","顧客テンプレート
エクスポート関数 clientTemplate(params)",,
客户管理,顧客管理,,
客户编号,お客様番号,,
密码,パスワード,,
导入,インポート,,
导入成功,インポート成功,,
导入模板,テンプレートをインポート,,
导入错误,インポートエラー,,
导出,出力,,
导出模板,テンプレートを出力,,
导出页面为PDF格式,ページを PDF 形式にエクスポートする,,
"导出页面为PDF格式
import html2Canvas from","ページを PDF 形式にエクスポートする
html2Canvas をインポートする",,
已作废,無効化された,,
已开启,すでにオンになっています,,
已收到款项,支払いを受け取りました,,
已添加过改结算账户,決済口座変更を追加しました,,
已销售价格(元),販売価格（元）,,
已销售数量,販売数量,,
平均采购价,平均購入価格,,
平均销售价,平均販売価格,,
年,年,,
序号,シリアルナンバー,,
库位管理,在庫位置管理,,
库存,在庫あり,,
库存上限,在庫制限,,
库存下限,最小在庫数,,
库存信息,在庫情報,,
库存总数,総在庫数,,
库存报表,在庫レポート,,
"库存报表
export function inventoryReportList(params)","在庫レポート
エクスポート関数 inventoryReportList(params)",,
库存数量,在庫数,,
库存流水,在庫履歴,,
"库存流水
export function inventoryFlowsList(params)","在庫の流れ
エクスポート関数 inventoryFlowsList(params)",,
库存流水详情,在庫フローの詳細,,
"库存流水详情
export function inventoryFlowsDetail(params)","在庫フローの詳細
エクスポート関数 inventoryFlowsDetail(params)",,
库存状态,在庫状況,,
库存管理,在庫管理,,
库存结存,在庫残高,,
库存预警,在庫アラート,,
"库存预警
          if (data","在庫アラート
          if (データ",,
"库存预警
export function inventoryWarningsList(params)","在庫アラート
エクスポート関数 inventoryWarningsList(params)",,
库存预警上限,在庫警告上限値,,
库存预警下限,在庫警告下限値,,
应付欠款,買掛金,,
"应付欠款
export function arrearsPayableList(params)","延滞金
エクスポート関数 arraysPayableList(params)",,
应付欠款详情,債務の詳細,,
应付账款,買掛金勘定,,
应收,受取可能,,
应收欠款,売掛金,,
"应收欠款
export function arrearsReceivableList(params)","売掛金
エクスポート関数 arraysReceivableList(params)",,
应收欠款详情,売掛金の明細,,
应收账款,売掛金,,
建筑仓储管理系统,建物倉庫管理システム,,
开启,オンにする,,
开启批次控制的产品,バッチ制御が有効な製品,,
开启批次控制的产品需要输入批次编号,バッチ制御がオンになっている製品は、バッチ番号を入力する必要があります,,
开启批次控制的产品需要选择批次编号,バッチ制御がオンになっている製品は、バッチ番号を選択する必要があります,,
开始时间,開始時間,,
开户人,口座名義人,,
开户行,口座開設銀行,,
开户账号,口座開設口座,,
引用双端口(8000和18000）避免其中某个被占用：,デュアル ポート (8000 および 18000) を参照して、そのうちの 1 つが占有されないようにします。,,
"引用双端口(8000和18000）避免其中某个被占用：
  oscript","デュアル ポート (8000 および 18000) を参照して、そのうちの 1 つが占有されないようにします。
  スクリプト",,
往来单位,接点ユニット,,
往来管理,トランザクション管理,,
往来记录,通信記録,,
待入库,ストック予定,,
待入库数量,入庫予定数量,,
待出库,発送予定,,
待出库数量,出荷する数量,,
待办事项,やることリスト,,
微信交流群,WeChatコミュニケーショングループ,,
微信客服,WeChatカスタマーサービス,,
微信钱包,WeChatウォレット,,
性别,性別,,
总计金额(元),合計金額（元）,,
总金额,一時金,,
您有,あなたが持っている,,
成品入库,完成品倉庫,,
成品出入库明细,完成品の入口と出口の詳細,,
成品出库,完成品のお届け,,
成品字典,完成した辞書,,
成品字典导入,辞書のインポートが完了しました,,
成品字典模板,完成した辞書テンプレート,,
成品库存,完成品在庫,,
所有仓库,すべての倉庫,,
手机号,携帯電話番号,,
手续费支付方,料金支払者,,
手续费金额,手数料金額,,
手续费金额(元),手数料金額（元）,,
手续费金额格式不正确,手数料金額の形式が間違っています,,
打印,印刷する,,
打印控件未安装,印刷コントロールがインストールされていません,,
打印控件需要升级,印刷制御をアップグレードする必要がある,,
执行升级,アップグレードを実行する,,
执行安装,インストールを実行する,,
扩展】中先卸它）,拡張機能】先にアンインストールしてください）,,
批,バッチ,,
批次,バッチ,,
"批次
export function batchsOption(params)","バッチ
エクスポート関数batchesOption(params)",,
批次剩余数量,バッチの残量,,
批次报表,ロットレポート,,
"批次报表
export function batchsReportList(params)","バッチレポート
エクスポート関数バッチReportList(params)",,
批次控制,バッチ制御,,
批次数量,バッチ数量,,
报表,報告,,
报表统计,レポート集計,,
抱歉，您无权访问此页面,申し訳ありませんが、このページにアクセスする権限がありません,,
拥有权限,許可を得る,,
拥有者,所有者,,
按库存生产,仕込んで在庫を確保する,,
按订单生产,オーダーメイド,,
插件未安装时提示下载地址,プラグインがインストールされていない場合のダウンロード アドレスのプロンプト,,
操作,操作する,,
操作快捷入口,操作クイックエントリー,,
支付宝,アリペイ,,
支出,支出,,
收入,所得,,
收支单据,領収書と支払い,,
收支类型,収支の種類,,
收支统计,収支統計,,
"收支统计
export function financialStatistics(params)","収支統計
エクスポート関数 FinancialStatistics(params)",,
收支项目,収支項目,,
"收支项目
export function revenueExpenditureItemsExport(params)","収支内訳
エクスポート関数収益ExpenditureItemsExport(params)",,
"收支项目
export function revenueExpenditureItemsList(params)","収支内訳
エクスポート関数収益ExpenditureItemsList(params)",,
收支项目列表,収入支出項目一覧,,
收支项目导入,収入支出項目の輸入,,
"收支项目导入
export function revenueExpenditureItemsImport(data)","収入支出項目の輸入
エクスポート関数収益ExpenditureItemsImport(データ)",,
收支项目导入模板,収支項目インポートテンプレート,,
收支项目模板,収支項目テンプレート,,
"收支项目模板
export function revenueExpenditureItemsTemplate(params)","収支項目テンプレート
エクスポート関数収益ExpenditureItemsTemplate(params)",,
收款,入金,,
"收款
export function collectionOrdersList(params)","コレクション
エクスポート関数 collectionOrdersList(params)",,
收款业务,回収事業,,
收款单,回収票,,
"收款单
export function getCollectionOrderNumber(params)","回収票
エクスポート関数 getCollectionOrderNumber(params)",,
收款单创建,払込票の作成,,
收款单据,領収書,,
收款单详情,払込票詳細,,
收款新增,新しい支払いの徴収,,
"收款新增
export function collectionOrderCreate(data)","新しい支払いの徴収
エクスポート関数 collectionOrderCreate(data)",,
收款编号,受付番号,,
收款记录作废,支払記録が無効です,,
"收款记录作废
export function collectionOrdersVoid(data)","支払記録が無効です
エクスポート関数 collectionOrdersVoid(data)",,
收款详情,お支払い詳細,,
"收款详情
export function collectioOrderDetail(params)","お支払い詳細
エクスポート関数 collectionioOrderDetail(params)",,
收款金额,支払金額,,
收款金额(元),支払金額（元）,,
收款金额合计：,お支払い総額:,,
数据对比,データ比較,,
数据看板,データダッシュボード,,
数据统计,統計,,
数量,量,,
整单折扣,全注文割引,,
新增,新規追加,,
新增产品,製品を追加,,
新增产品信息,製品情報を追加,,
新增产品分类,製品分類を追加,,
新增产品单位,製品単位を追加,,
新增仓库,倉庫を追加,,
新增付款单,支払伝票を追加,,
新增供应商,仕入先を追加,,
新增入库单,入庫伝票を追加,,
新增出库单,出庫伝票を追加,,
新增分类,分類を追加,,
新增单位,単位を追加,,
新增客户,顧客を追加,,
新增成功,正常に追加されました,,
新增收支项目,収支項目を追加,,
新增收款单,入金伝票を追加,,
新增日常收支,日常収支を追加,,
新增生产任务,生産タスクを追加,,
新增生产计划,生産計画を追加,,
新增盘点,棚卸を追加,,
新增结算账户,決済口座を追加,,
新增角色,ロールを追加,,
新增调拨,在庫移動を追加,,
新增账号,アカウントを追加,,
新增账户转账,口座振替を追加,,
新增采购订单,仕入注文を追加,,
新增采购退货,仕入返品を追加,,
新增销售订单,販売注文を追加,,
新增销售退货,販売返品を追加,,
新增附件,添付ファイルを追加,,
新密码,新しいパスワード,,
无,なし,,
无库存,在庫切れ,,
日常收支,日常収支,,
"日常收支
export function chargeOrdersList(params)","毎日の収入と支出
エクスポート関数chargeOrdersList(params)",,
"日常收支
export function getChargeOrderNumber(params)","毎日の収入と支出
エクスポート関数 getChargeOrderNumber(params)",,
日常收支新增,日々の収入と支出を加算,,
"日常收支新增
export function chargeOrderCreate(data)","日々の収入と支出を加算
エクスポート関数chargeOrderCreate(data)",,
日常收支记录作废,毎日の収入と支出の記録は無効です,,
"日常收支记录作废
export function chargeOrdersVoid(data)","毎日の収入と支出の記録は無効です
エクスポート関数chargeOrdersVoid(data)",,
日常采购,毎日の買い物,,
"日常采购
export function getPurchaseNumber(params)","毎日の買い物
エクスポート関数 getPurchaseNumber(params)",,
旧密码,以前のパスワード,,
昨天,昨日,,
暂无数据,まだデータがありません,,
更新,更新する,,
"更新
export function configUpdate(data)","更新する
エクスポート関数 configUpdate(data)",,
替换别名,エイリアスを置換する,,
"替换别名
        rows","エイリアスを置換する
        行",,
最低采购价,最低購入価格,,
最低销售价,最低販売価格,,
最高采购价,最大購入価格,,
最高销售价,最大販売価格,,
有,持っている,,
有库存,在庫あり,,
服务器错误,サーバーエラー,,
期初库存,インベントリの開始,,
未开启,電源が入っていない,,
未收到款项,支払いは受領されませんでした,,
未添加产品,商品は追加されていません,,
本单欠款(元),この注文の未払い金額 (元),,
权限,権限,,
条,ストリップ,,
条形码,バーコード,,
条码,バーコード,,
查看,チェック,,
查看批次,バッチを表示する,,
查询,検索,,
模板,テンプレート,,
模板下载,テンプレートのダウンロード,,
欠款状态,延滞状況,,
欠款金额(元),借入額（元）,,
正在导入中,インポート中,,
正常,普通,,
没准备好，请稍后再试！,準備ができていません。後でもう一度お試しください。,,
注意：如曾安装过Lodop旧版附件npActiveXPLugin,注: 古い Lodop アドオン npActiveXPLugin をインストールしている場合,,
流水类型,パイプラインの種類,,
添加,追加,,
添加产品,製品を追加,,
添加成功,正常に追加されました,,
添加结算账户,請求先アカウントを追加する,,
激活,アクティベーション,,
激活入库,ストレージをアクティブ化する,,
激活出库,アウトバウンドをアクティブ化する,,
激活后无需到库存管理页面手动确认入库。,アクティベーション後、在庫管理ページに移動して手動でストレージを確認する必要はありません。,,
激活后无需到库存管理页面手动确认出库。,有効化後は、在庫管理ページに移動して出荷を手動で確認する必要はありません。,,
激活状态,アクティブ状態,,
点击这里,ここをクリック,,
物料选择,材料の選択,,
状态,状態,,
现付金额(元),現金で支払った金額（元）,,
现收金额(元),現金で受け取った金額（元）,,
现金,現金,,
生产,生産,,
生产任务,生産タスク,,
生产单号,製造指図番号,,
生产成功,生産成功,,
生产数量,生産量,,
生产日期,製造日,,
生产计划,生産計画,,
"生产计划
export function productionOrderList(params)","生産計画
エクスポート関数productionOrderList(params)",,
生产计划单号,生産計画番号,,
生产计划详情,生産計画詳細,,
生产记录,製作実績,,
"生产记录
export function productionRecordList(params)","製作実績
エクスポート関数productionRecordList(params)",,
生成条形码,バーコードの生成,,
用户名,ユーザー名,,
电话,電話,,
男,男,,
登录,ログイン,,
登录后请修改密码,ログイン後、パスワードを変更してください,,
登录成功,ログイン成功,,
盘点,棚卸,,
"盘点
export function stockCheckCreate(data)","在庫
エクスポート関数stockCheckCreate(data)",,
"盘点
export function stockCheckOrdersList(params)","在庫
エクスポート関数stockCheckOrdersList(params)",,
盘点业务,在庫事業,,
盘点创建,インベントリの作成,,
盘点单,在庫シート,,
"盘点单
export function getStockCheckOrderNumber(params)","在庫シート
エクスポート関数 getStockCheckOrderNumber(params)",,
盘点单号,在庫注文番号,,
盘点单详情,在庫注文の詳細,,
盘点状态,在庫状況,,
盘点编号,在庫数,,
盘点记录作废,在庫レコードが無効です,,
"盘点记录作废
export function stockCheckOrdersVoid(data)","在庫レコードが無効です
エクスポート関数stockCheckOrdersVoid(data)",,
盘点详情,在庫詳細,,
盘盈总数量,利益総額,,
盘盈总金额,利益総額,,
确定,もちろん,,
确定作废吗,本当に無効ですか?,,
确定保存吗,本当に保存しますか?,,
确定关闭吗,本当に閉じますか?,,
确定删除吗,本当に削除しますか?,,
确定发布吗,必ず公開しますか?,,
确定重置吗,本当にリセットしますか?,,
确认密码,パスワードを認証する,,
禁用,無効にする,,
移除,取り除く,,
税率,税率,,
立即开始,今すぐ始めましょう,,
等级,学年,,
等级价一(元),レベル価格 1 (元),,
等级价三(元),レベル価格 3 (元),,
等级价二(元),レベル価格 2 (元),,
管理员,管理者,,
管理批次,バッチを管理する,,
类型,タイプ,,
